HSHD_NUM        ,L,AGE_RANGE                                                                                                                                                                                               ,MARITAL,INCOME_RANGE                                                                                                                                                                                            ,HOMEOWNER,HSHD_COMPOSITION ,HH_SIZE                                                                                                                                                                                                 ,CHILDREN
1270            ,Y,45-54                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
1492            ,Y,45-54                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Renter   ,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2507            ,Y,45-54                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0801            ,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0826            ,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
0984            ,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
1873            ,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2454            ,N,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
3496            ,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
3733            ,N,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
3739            ,Y,45-54                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
0455            ,Y,45-54                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
1937            ,Y,45-54                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2639            ,Y,45-54                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
3257            ,Y,45-54                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
3993            ,Y,45-54                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
4766            ,Y,45-54                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0160            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
0185            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0186            ,N,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
1234            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
1245            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
1573            ,N,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
1748            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,null     ,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
1963            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
3022            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
3111            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
3267            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
3964            ,Y,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
4909            ,N,45-54                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
0789            ,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
1020            ,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
1265            ,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2371            ,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2429            ,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2874            ,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,null     ,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2938            ,Y,55-64                                                                                                                                                                                                   ,Married,150K+                                                                                                                                                                                                   ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
0184            ,Y,55-64                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Renter   ,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0590            ,Y,55-64                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
1241            ,Y,55-64                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2345            ,Y,55-64                                                                                                                                                                                                   ,Married,35-49K                                                                                                                                                                                                  ,Renter   ,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0053            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0081            ,N,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0136            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0459            ,N,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0780            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
1205            ,N,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
1448            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
1526            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
1990            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2781            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
3358            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
3889            ,Y,55-64                                                                                                                                                                                                   ,Married,50-74K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
0092            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
1187            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
2391            ,N,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Renter   ,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
2519            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2997            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
3164            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
3247            ,N,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
3689            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,null                                                                                                                                                                                                    ,null
4062            ,Y,55-64                                                                                                                                                                                                   ,Married,75-99K                                                                                                                                                                                                  ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
0029            ,Y,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0361            ,N,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
2822            ,Y,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,5+                                                                                                                                                                                                      ,3+
3060            ,Y,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
3474            ,N,55-64                                                                                                                                                                                                   ,Married,100-150K                                                                                                                                                                                                ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
0605            ,N,55-64                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults and Kids,3                                                                                                                                                                                                       ,1
3014            ,Y,55-64                                                                                                                                                                                                   ,Married,UNDER 35K                                                                                                                                                                                               ,Homeowner,2 Adults and Kids,4                                                                                                                                                                                                       ,2
